author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,dailyBertalanffyGrowthRate,mechanistic model,mm d-1,NA,"larvae, juveniles, adults",0.03,parameter,spawning,state_var,tissue_reserves_lipids
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,assimilationEfficiency,reference,mgCW mgC-1,NA,"larvae, juveniles, adults",0.8,parameter,spawning,function,assimilation
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,assimilationEfficiency,reference,mgCW mgC-1,NA,"larvae, juveniles, adults",0.8,parameter,spawning,function,assimilation
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,oxygenToCarbonConversion,reference,mgC mlO2-1,NA,"larvae, juveniles, adults",0.5357,parameter,spawning,function,maintenance _respiration
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,feedingActivityFactor,reference,NA,NA,"larvae, juveniles, adults",0-1,parameter,spawning,function,ingestion
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorSummer,reference,NA,NA,"larvae, juveniles, adults",0,parameter,spawning,function,ingestion
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorSummer,reference,NA,NA,"larvae, juveniles, adults",0,parameter,spawning,function,maintenance _respiration
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorWinter,reference,NA,NA,"larvae, juveniles, adults",-0.5,parameter,spawning,function,ingestion
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorWinter,reference,NA,NA,"larvae, juveniles, adults",-0.5,parameter,spawning,function,maintenance _respiration
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorTransition,reference,NA,NA,"larvae, juveniles, adults",-0.5-0,parameter,spawning,function,ingestion
"Hofmann, E. F. and Lascara, C. M. (2000)",modeling the growth dynamics of antarctic krill euphausia superba,model,years,"summer, autumn, winter, spring",NA,Antarctic Peninsula,seasonalActivityFactorTransition,reference,NA,NA,"larvae, juveniles, adults",-0.5-0,parameter,spawning,function,maintenance _respiration
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of protein,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of protein,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of neutral lipid,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of neutral lipid,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of polar lipid,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of polar lipid,literature review,%,NA,NA,100,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of carbohydrate,literature review,%,NA,NA,20,parameter,spawning,function,assimilation
Fach et al (2008),biochemically based modeling study of antarctic krill euphausia superba growth and development,model,years,"spring, summer, autumn, winter",NA,Circumpolar,Assimilation efficiency of carbohydrate,literature review,%,NA,NA,20,parameter,spawning,function,assimilation
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,oxygen uptake as function of dry mass,ORI-A net,ul O2 mg DW-1 h-1,77,NA,logY = -0.101 + 0.862*log(DW),parameter,spawning,function,maintenance _respiration
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,ammonia excretion as function of dry mass,ORI-A net,ul N mg DW-1 h-1,77,NA,logY = -1.024 + 0.771*log(DW),parameter,spawning,function,maintenance _excretion
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,phosphorus excretion as function of dry mass,ORI-A net,ul P mg DW-1 h-1,77,NA,logY = -1.658 + 0.703*log(DW),parameter,spawning,function,maintenance _excretion
