author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 1,scuba dive and hand net,%DW,21,juvenile,1.18,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 1,scuba dive and hand net,%DW,21,juvenile,1.18,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,carbon content size group 2,scuba dive and hand net,%DW,36,adult,40.15,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,nitrogen content size group 2,scuba dive and hand net,%DW,36,adult,11.84,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,nitrogen content size group 2,scuba dive and hand net,%DW,36,adult,11.84,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 2,scuba dive and hand net,%DW,36,adult,1.19,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 2,scuba dive and hand net,%DW,36,adult,1.19,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,carbon content size group 3,scuba dive and hand net,%DW,15,adult,40.67,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,nitrogen content size group 3,scuba dive and hand net,%DW,15,adult,11.85,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,nitrogen content size group 3,scuba dive and hand net,%DW,15,adult,11.85,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 3,scuba dive and hand net,%DW,15,adult,1.17,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., kirkwood r. (1989)","metabolism and body composition of two euphausiids (euphausia superba and e. crystallorophias) collected from under the pack-ice off enderby land, antarctica",observation,weeks,spring,1985,Enderby Land,phosphorous content size group 3,scuba dive and hand net,%DW,15,adult,1.17,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,lipid content males,NA,%DW,50,adult,1-3,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,lipid content females,NA,%DW,NA,adult,8-30,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 14:0 male,NA,%,NA,adult,1.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:1w7c male,NA,%,NA,adult,1.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:0 male,NA,%,NA,adult,17.2,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:4w3 male,NA,%,NA,adult,0.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:2w6 male,NA,%,NA,adult,2.7,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:3w3 male,NA,%,NA,adult,0.8,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w9c male,NA,%,NA,adult,7.6,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w7c male,NA,%,NA,adult,7.2,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:0 male,NA,%,NA,adult,0.7,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:4w6 male,NA,%,NA,adult,1.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:5w3 male,NA,%,NA,adult,28.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 22:6w3 male,NA,%,NA,adult,26.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 14:0 female gravid,NA,%,NA,adult,10.4,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:1w7c female gravid,NA,%,NA,adult,9.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:0 female gravid,NA,%,NA,adult,20.7,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:4w3 female gravid,NA,%,NA,adult,0.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:2w6 female gravid,NA,%,NA,adult,2.7,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:3w3 female gravid,NA,%,NA,adult,0.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w9c female gravid,NA,%,NA,adult,10.6,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w7c female gravid,NA,%,NA,adult,9.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:0 female gravid,NA,%,NA,adult,0.7,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:4w6 female gravid,NA,%,NA,adult,0,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:5w3 female gravid,NA,%,NA,adult,18.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 22:6w3 female gravid,NA,%,NA,adult,8.8,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 14:0 female spent,NA,%,NA,adult,9.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:1w7c female spent,NA,%,NA,adult,9.9,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 16:0 female spent,NA,%,NA,adult,20.8,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:4w3 female spent,NA,%,NA,adult,0.8,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:2w6 female spent,NA,%,NA,adult,2.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:3w3 female spent,NA,%,NA,adult,0.6,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w9c female spent,NA,%,NA,adult,10.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:1w7c female spent,NA,%,NA,adult,10.3,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 18:0 female spent,NA,%,NA,adult,0.9,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:4w6 female spent,NA,%,NA,adult,0.5,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 20:5w3 female spent,NA,%,NA,adult,18.2,validation,spawning,state_var,tissue_reserves_carbs,NA
"virtue p., nichols p.d., nicol s., hosie g. (1996)","reproductive trade-off in male antarctic krill, euphausia superba",observation,days,summer,1993,Prydz Bay,fatty acid 22:6w3 female spent,NA,%,NA,adult,9.5,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,lipid content,NA,%DW,NA,adult,21.9,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,protein content,NA,%DW,NA,adult,48.9,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 12:0,NA,%,NA,adult,0.2,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 14:0,NA,%,NA,adult,18.7,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 14:1,NA,%,NA,adult,0.5,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 15:0,NA,%,NA,adult,0.6,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 16:0,NA,%,NA,adult,24,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 16:1,NA,%,NA,adult,11.2,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 17:0,NA,%,NA,adult,0.9,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 18:0,NA,%,NA,adult,0.9,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 18:1,NA,%,NA,adult,20.5,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 18:2,NA,%,NA,adult,2.3,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 20:1,NA,%,NA,adult,0.6,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 20:2,NA,%,NA,adult,0.6,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 22:5(n-3),NA,%,NA,adult,13.2,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,winter,1968,Tasman Sea,fatty acid 22:6,NA,%,NA,adult,5.9,validation,spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,autumn,1968,Ross Sea,lipid content,NA,%DW,NA,adult,27.4,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
Sidhu et al. (1970),biochemical composition and nutritive value of krill (euphausia superba dana),observation,days,autumn,1968,Ross Sea,protein content,NA,%DW,NA,adult,49,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 50-100mg,ORI-A net,ul O2 ind-1 h-1,17,adult,76.77,not assigned,spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 50-100mg,ORI-A net,ul O2 ind-1 h-1,17,adult,76.77,not assigned,spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 50-100mg,ORI-A net,ul O2 ind-1 h-1,17,adult,76.77,not assigned,spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 100-200mg,ORI-A net,ul O2 ind-1 h-1,26,adult,142.86,not assigned,spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 100-200mg,ORI-A net,ul O2 ind-1 h-1,26,adult,142.86,not assigned,spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 100-200mg,ORI-A net,ul O2 ind-1 h-1,26,adult,142.86,not assigned,spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 200-300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,237.68,not assigned,spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 200-300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,237.68,not assigned,spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW 200-300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,237.68,not assigned,spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW >300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,353.78,not assigned,spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW >300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,353.78,not assigned,spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,mean body dry weight DW >300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,353.78,not assigned,spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,oxygen uptake rate DW 50-100mg,ORI-A net,ul O2 ind-1 h-1,17,adult,33.84,"parameter, validation",spawning,function,maintenance _respiration,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,oxygen uptake rate DW 100-200mg,ORI-A net,ul O2 ind-1 h-1,26,adult,58.23,"parameter, validation",spawning,function,maintenance _respiration,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,oxygen uptake rate DW 200-300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,90.64,"parameter, validation",spawning,function,maintenance _respiration,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,oxygen uptake rate DW >300mg,ORI-A net,ul O2 ind-1 h-1,7,adult,123.57,"parameter, validation",spawning,function,maintenance _respiration,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,ammonia excretion rate DW 50-100mg,ORI-A net,ug N in-1 h-1,17,adult,2.63,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,ammonia excretion rate DW 100-200mg,ORI-A net,ug N in-1 h-1,26,adult,4.35,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,ammonia excretion rate DW 200-300mg,ORI-A net,ug N in-1 h-1,7,adult,6.98,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,ammonia excretion rate DW >300mg,ORI-A net,ug N in-1 h-1,7,adult,10.28,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,phosphate excretion rate DW 50-100mg,ORI-A net,ug P in-1 h-1,17,adult,0.5,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,phosphate excretion rate DW 100-200mg,ORI-A net,ug P in-1 h-1,26,adult,0.83,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,phosphate excretion rate DW 200-300mg,ORI-A net,ug P in-1 h-1,7,adult,1.11,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,phosphate excretion rate DW >300mg,ORI-A net,ug P in-1 h-1,7,adult,1.62,"parameter, validation",spawning,function,maintenance _excretion,temperature
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,carbon content DW 50-100mg,ORI-A net,%DW,17,adult,44.7,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,carbon content DW 100-200mg,ORI-A net,%DW,26,adult,46.6,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,carbon content DW 200-300mg,ORI-A net,%DW,7,adult,47.4,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,carbon content DW >300mg,ORI-A net,%DW,7,adult,47.5,"parameter, validation",spawning,state_var,tissue_reserves_carbs,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,nitrogen content DW 50-100mg,ORI-A net,%DW,17,adult,10.2,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,nitrogen content DW 50-100mg,ORI-A net,%DW,17,adult,10.2,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,nitrogen content DW 100-200mg,ORI-A net,%DW,26,adult,9.9,"parameter, validation",spawning,state_var,tissue_reserves_proteins,NA
"ikeda t., mitchell a.w. (1982)","oxygen uptake, ammonia excretion and phosphate excretion by krill and other antarctic zooplankton in relation to their body size and chemical composition",observation,days,summer,1980,Wilkes Land,nitrogen content DW 100-200mg,ORI-A net,%DW,26,adult,9.9,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
