author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:00,measurement,mass %,7,juvenile,20.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:1 (n-7),measurement,mass %,7,juvenile,4.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:0,measurement,mass %,7,juvenile,1.7,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-9),measurement,mass %,7,juvenile,15.6,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-7),measurement,mass %,7,juvenile,5.9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:2 (n-6),measurement,mass %,7,juvenile,2.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:3 (n-3),measurement,mass %,7,juvenile,2.2,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:4 (n-3),measurement,mass %,7,juvenile,9,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:1 (n-9),measurement,mass %,7,juvenile,1.5,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:4 (n-6),measurement,mass %,7,juvenile,0.4,validation,spawning,state_var,tissue_reserves_lipids,NA
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,autumn,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 20:5 (n-3),measurement,mass %,7,juvenile,12.2,validation,spawning,state_var,tissue_reserves_lipids,NA
